	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length			
PH_5	0.00000000154646085	0.00000000154685355	0.00000000154643115	0.0000000015463767	0.00000000154580745	0.0000000015458784	0.00000000154684695	0.0000000015467331	0.0000000015471456	0.00000000154625295	0.00000000154718355	0.000000001546017	0.0000000015460863	0.00000000154683705	0.0000000015466836	0.0000000015473007	0.0000000015461424	0.0000000015472908	0.00000000154701855	0.00000000154624965	0.0000000015466209	0.000000001545852	0.0000000015460137	0.00000000154732875	0.00000000154721655	0.0000000015457266	0.0000000015463866	0.00000000154618695			
NMI	0.00000000152384265	0.00000000118710075	0.00000000119146005	0.0000000013843896	0.00000000132335445	0.0000000015338895	0.00000000125895165	0.00000000123929025	0.0000000014653683	0.00000000121250415	0.00000000138678705	0.0000000011908281	0.00000000120423105	0.00000000125659875	0.0000000011966658	0.00000000141252375	0.00000000150773865	0.0000000013811358	0.0000000014927187	0.00000000146159475	0.00000000123795375	0.00000000119290545	0.0000000011887953	0.0000000014872671	0.0000000014420505	0.00000000148245405	0.00000000146679885	0.0000000012383778			
PD_2	0.0000000015458091	0.0000000015471654	0.000000001546512	0.00000000154682715	0.0000000015459807	0.000000001545885	0.00000000154703835	0.00000000154621995	0.00000000154582395	0.0000000015468453	0.0000000015459477	0.000000001545786	0.0000000015461919	0.0000000015471753	0.00000000154691295	0.00000000154640805	0.00000000154612755	0.00000000154586355	0.00000000154712745	0.00000000154616385	0.0000000015461754	0.00000000154632885	0.0000000015458619	0.00000000154730565	0.00000000154626945	0.000000001546512	0.00000000154676445	0.0000000015457893			
PI_2	0.0000000015460698	0.0000000015459213	0.0000000015466275	0.0000000015464658	0.00000000154734525	0.0000000015464658	0.00000000154695915	0.00000000154653345	0.0000000015465351	0.00000000154572495	0.0000000015472017	0.00000000154668855	0.00000000154643115	0.00000000154621335	0.0000000015465549	0.00000000154736835	0.00000000154634865	0.000000001546578	0.000000001546083	0.0000000015459543	0.00000000154589985	0.0000000015461523	0.00000000154659945	0.00000000154652685	0.00000000154736175	0.0000000015464757	0.00000000154641465	0.0000000015458289			
PD_0	0.0000000015473469	0.00000000154710765	0.00000000154690305	0.00000000154642125	0.00000000154600545	0.00000000154719015	0.0000000015459477	0.0000000015472776	0.00000000154685025	0.00000000154718355	0.0000000015472149	0.00000000154670835	0.00000000154701195	0.00000000154736175	0.000000001547007	0.0000000015463437	0.000000001547337	0.0000000015469707	0.0000000015463305	0.0000000015465615	0.0000000015471786	0.0000000015465879	0.00000000154577445	0.0000000015463701	0.0000000015468486	0.0000000015469971	0.00000000154635525	0.0000000015462348			
PD_3	0.00000000154585035	0.00000000154703835	0.0000000015467166	0.00000000154605825	0.0000000015460269	0.0000000015458916	0.0000000015463404	0.00000000154685025	0.0000000015461457	0.00000000154593615	0.0000000015458223	0.00000000154711425	0.000000001546182	0.00000000154701525	0.0000000015472545	0.0000000015457827	0.00000000154616055	0.0000000015471819	0.00000000154575465	0.00000000154602195	0.00000000154615725	0.00000000154593615	0.0000000015460104	0.00000000154651035	0.0000000015464097	0.00000000154601535	0.00000000154678095	0.0000000015458421			
PD_6	0.0000000015462546	0.0000000015473304	0.0000000015466605	0.00000000154725285	0.0000000015459411	0.00000000154713075	0.00000000154718355	0.0000000015461193	0.0000000015463833	0.00000000154640805	0.00000000154632225	0.00000000154638495	0.0000000015459378	0.0000000015473238	0.000000001547271	0.0000000015473073	0.00000000154599555	0.0000000015457299	0.00000000154671	0.00000000154581405	0.0000000015458256	0.00000000154645755	0.0000000015458718	0.00000000154621005	0.0000000015464163	0.00000000154697895	0.00000000154705815	0.00000000154686675			
PG_10	0.00000000154638	0.00000000154628595	0.0000000015465087	0.0000000015458223	0.00000000154605	0.0000000015461556	0.00000000154599225	0.0000000015464196	0.00000000154606815	0.0000000015472974	0.00000000154694925	0.000000001545819	0.0000000015469344	0.0000000015468189	0.0000000015467133	0.0000000015466209	0.0000000015460302	0.00000000154664895	0.0000000015471192	0.0000000015462117	0.00000000154675125	0.00000000154643115	0.0000000015470829	0.0000000015472182	0.00000000154669185	0.00000000154704495	0.0000000015473634	0.0000000015467892			
PH_13	0.00000000154576125	0.00000000154701525	0.00000000154572165	0.00000000154711095	0.00000000154671	0.0000000015460566	0.00000000154625955	0.00000000154661595	0.0000000015471522	0.00000000154627275	0.0000000015467397	0.0000000015463998	0.0000000015469938	0.0000000015461787	0.0000000015458322	0.0000000015468981	0.0000000015462117	0.0000000015465285	0.00000000154735845	0.00000000154578435	0.00000000154621665	0.00000000154633875	0.00000000154722975	0.00000000154589325	0.0000000015466242	0.0000000015460533	0.00000000154695255	0.00000000154648725			
PH_4	0.00000000154594935	0.0000000015459576	0.00000000154652025	0.00000000154629255	0.000000001547073	0.000000001546677	0.0000000015468849	0.00000000154609125	0.00000000154704	0.00000000154714725	0.00000000154626285	0.000000001547073	0.0000000015460698	0.00000000154724955	0.0000000015469179	0.00000000154646415	0.00000000154731225	0.0000000015462018	0.00000000154593285	0.000000001546281	0.0000000015463041	0.0000000015460797	0.00000000154680735	0.00000000154727925	0.0000000015463701	0.0000000015471192	0.00000000154675455	0.00000000154636185			
